round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,conv_padding,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
6,0.6933023776763525,0.4102564059261583,0.6932819116331488,0.5376549091818675,51,64,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,16,64,0.1,200,16,sigmoid,binary_crossentropy,2.08,200,4,2,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
6,0.6941663271341568,0.4102564059261583,0.6934326803036481,0.40610104895865384,51,64,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.4,200,8,sigmoid,binary_crossentropy,6.039999999999999,200,2,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
6,0.11995672167111666,0.5897435948380039,0.12013115791392621,0.6224976168347042,51,32,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,32,32,0.4,200,32,sigmoid,logcosh,2.08,200,2,2,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,8
6,0.11987447324726316,0.5897435948380039,0.1201986603588008,0.5424213534428803,51,32,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,32,0.0,200,8,sigmoid,logcosh,6.039999999999999,200,4,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
6,0.6958340798687731,0.4102564059261583,0.6934394220492178,0.36034318353018385,51,64,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.1,200,32,sigmoid,binary_crossentropy,6.039999999999999,200,1,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
7,0.6929974566158067,0.5897435948380039,0.6935163342577714,0.5166825546436473,51,32,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.4,200,16,sigmoid,binary_crossentropy,8.02,200,4,4,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
6,0.11995362477679537,0.5897435899983104,0.12014180568141865,0.6396568162425343,51,16,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.30000000000000004,200,8,sigmoid,logcosh,2.08,200,2,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
9,0.6925892300075955,0.5897435805736444,0.6932008198832648,0.6062917065574966,51,64,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.2,200,32,sigmoid,binary_crossentropy,2.08,200,2,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
6,0.12009284823623478,0.5897435805736444,0.12011376462940719,0.5347950424434346,51,64,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,32,32,0.4,200,32,sigmoid,logcosh,0.1,200,2,4,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
6,0.12024423645602332,0.4102564059261583,0.12012886979729931,0.3603431839279269,51,64,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,16,64,0.30000000000000004,200,8,sigmoid,logcosh,2.08,200,4,4,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
6,0.12024887995078014,0.410256410511131,0.12013790858030546,0.36034318381428604,51,32,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,32,32,0.1,200,8,sigmoid,logcosh,6.039999999999999,200,2,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,8
6,0.6934224560729458,0.4102564059261583,0.6931731282698755,0.36415633971175204,51,64,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.1,200,32,sigmoid,binary_crossentropy,0.1,200,4,2,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,8
9,0.6926349651100289,0.5897435899983104,0.6932679168148422,0.5471877980732258,51,16,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,16,64,0.30000000000000004,200,8,sigmoid,binary_crossentropy,6.039999999999999,200,4,2,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
6,0.6899387653057392,0.5897435899983104,0.6933878738046033,0.6396568162425343,51,16,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,16,32,0.1,200,16,sigmoid,binary_crossentropy,0.1,200,2,4,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,8
6,0.6942944083458338,0.41025641127529305,0.6932004897564905,0.3603431840131576,51,16,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,16,64,0.4,200,32,sigmoid,binary_crossentropy,0.1,200,4,4,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
6,0.25581951044563556,0.41025641127529305,0.21689044410723293,0.36034318421202916,51,16,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.1,200,32,sigmoid,logcosh,6.039999999999999,200,4,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,8
9,0.693960756318182,0.410256410511131,0.6935348735751142,0.5510009533172567,51,32,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,64,0.1,200,8,sigmoid,binary_crossentropy,8.02,200,4,2,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,8
6,0.6927770641114976,0.5897435805736444,0.6932651372155879,0.6320305052999091,51,64,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.2,200,16,sigmoid,binary_crossentropy,2.08,200,2,1,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,4
10,0.6944229470358955,0.4102564059261583,0.6934029512228116,0.37750238325052654,51,64,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,16,64,0.30000000000000004,200,16,sigmoid,binary_crossentropy,6.039999999999999,200,4,2,<class 'keras.optimizers.Nadam'>,1.3875661375661377,2,2
6,0.12052203848575935,0.41025641127529305,0.12012334723377137,0.36034318421202916,51,16,0.7816691505216096,relu,uniform,uniform,8,same,relu,uniform,uniform,32,32,0.2,200,8,sigmoid,logcosh,0.1,200,4,1,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
7,0.6936013892165616,0.4102564059261583,0.6933286906538746,0.44804575820555564,51,64,0.7816691505216096,relu,uniform,uniform,16,same,relu,uniform,uniform,32,64,0.2,200,32,sigmoid,binary_crossentropy,4.06,200,1,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
6,0.6936378891651447,0.410256410511131,0.693449407276139,0.5300285986085752,51,32,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.2,200,16,sigmoid,binary_crossentropy,8.02,200,4,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,2
6,0.1200937526857751,0.5897435948380039,0.12012453087462598,0.4756911349819318,51,32,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,16,32,0.2,200,32,sigmoid,logcosh,4.06,200,2,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
6,0.6926998913797557,0.5897435899983104,0.6932817392399245,0.6396568162425343,51,16,0.7816691505216096,relu,uniform,uniform,32,same,relu,uniform,uniform,32,64,0.4,200,16,sigmoid,binary_crossentropy,2.08,200,4,4,<class 'keras.optimizers.Adam'>,1.3875661375661377,2,4
