round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
8,0.12033288862205978,0.35042735271983677,0.12016661965187898,0.46806482347110206,49,32,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.2,200,20,sigmoid,logcosh,6.039999999999999,14000,2,2,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,10
6,0.12008304091600272,0.649572652629298,0.1201232266892014,0.39561487136282614,49,32,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.4,200,20,sigmoid,logcosh,6.039999999999999,14000,4,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,10
11,0.6972928454733303,0.3504273504273504,0.693543276352696,0.5653002860150642,49,16,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.30000000000000004,200,160,sigmoid,binary_crossentropy,6.039999999999999,14000,1,4,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,20
10,0.14146821124431413,0.5811965862909952,0.044244377498290334,0.8770257386852152,49,32,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.0,200,20,sigmoid,logcosh,4.06,14000,1,2,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,20
19,0.5457963790649023,0.743589744099185,0.5424212842355807,0.750238322325271,49,16,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,32,32,0.4,200,40,sigmoid,binary_crossentropy,0.1,14000,1,4,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,5
6,0.593686044216156,0.6923076963832235,0.5231093569410995,0.7788369878913473,49,32,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.4,200,40,sigmoid,binary_crossentropy,4.06,14000,1,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,5
8,0.7882606096756763,0.7435897461369506,0.2589758714968188,0.8846520497414814,49,32,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.0,200,20,sigmoid,binary_crossentropy,8.02,14000,2,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,5
6,0.12041277979683672,0.35042735271983677,0.120147530795621,0.5643469972821845,49,32,0.7899096385542169,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.30000000000000004,200,40,sigmoid,logcosh,6.039999999999999,14000,2,4,<class 'keras.optimizers.Nadam'>,1.3623376623376624,4,20
8,0.08219195246441752,0.7521367546839591,0.08858062996323957,0.7349857005536613,49,32,0.7899096385542169,relu,uniform,uniform,8,relu,uniform,uniform,16,64,0.0,200,40,sigmoid,logcosh,2.08,14000,1,4,<class 'keras.optimizers.Adam'>,1.3623376623376624,4,10
9,0.5474191690102602,0.7692307717779763,0.5541207858559287,0.7435653000587049,49,32,0.7899096385542169,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.4,200,20,sigmoid,binary_crossentropy,2.08,14000,4,1,<class 'keras.optimizers.Adam'>,1.3623376623376624,2,10
