round_epochs,val_loss,val_acc,loss,acc,alphabet_size,batch_size,control_class_weight,conv_activation,conv_bias_initializer,conv_kernel_initializer,conv_output_space,dense_activation,dense_bias_initializer,dense_kernel_initializer,dense_units_layer_2,dense_units_layer_3,dropout,epochs,large_filter_length,last_activation,loss,lr,max_sentence_length,number_of_large_filters,number_of_small_filters,optimizer,pd_class_weight,pool_length,small_filter_length
6,0.19279151467176583,0.5555555558102763,0.21689046349720914,0.643469971571796,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,32,0.2,200,20,sigmoid,logcosh,8.02,14000,4,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
14,0.09045582239189719,0.7350427386088249,0.06067575081770936,0.834127740989536,51,32,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,64,0.30000000000000004,200,40,sigmoid,logcosh,2.08,14000,2,1,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
6,0.6928515719552325,0.5555555558102763,0.6932094219869608,0.6434699715149755,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,16,64,0.4,200,80,sigmoid,binary_crossentropy,4.06,14000,2,2,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
6,0.6930234809207101,0.5555555558102763,0.6934899070697017,0.6434699714297448,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,32,32,0.2,200,20,sigmoid,binary_crossentropy,6.039999999999999,14000,4,1,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,10
11,0.12004214232293968,0.5555555606499697,0.12053289880942344,0.5757864628438158,51,32,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,32,64,0.30000000000000004,200,160,sigmoid,logcosh,2.08,14000,1,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
9,0.10721177919807597,0.6324786375730466,0.06572618348270058,0.7950428977708116,51,32,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.0,200,160,sigmoid,logcosh,2.08,14000,1,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
6,7.16359802800366,0.5555555558102763,8.059047685337703,0.643469971571796,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,32,0.4,200,80,sigmoid,binary_crossentropy,6.039999999999999,14000,4,2,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,5
8,0.08528982886137107,0.752136753155635,0.09993386758692044,0.7206863680831357,51,16,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.2,200,40,sigmoid,logcosh,8.02,14000,2,1,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,5
6,0.24098939595059451,0.4444444454633273,0.21624781687107394,0.3584366063059115,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,32,0.30000000000000004,200,160,sigmoid,logcosh,8.02,14000,4,1,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
6,0.1050318811311681,0.6324786365541637,0.08957047599258595,0.7178265013162923,51,32,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,32,64,0.1,200,20,sigmoid,logcosh,6.039999999999999,14000,1,1,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,5
9,0.19279151467176583,0.5555555558102763,0.21689046459100267,0.6434699715149755,51,16,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.0,200,40,sigmoid,logcosh,2.08,14000,1,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
10,0.08934401587033883,0.752136753155635,0.08915784038084819,0.7492850334787505,51,16,0.7770370370370371,relu,uniform,uniform,16,relu,uniform,uniform,16,32,0.1,200,40,sigmoid,logcosh,2.08,14000,4,2,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,20
8,0.12016713695648389,0.44444444469916516,0.12018890109967913,0.42612011426681556,51,32,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.2,200,20,sigmoid,logcosh,2.08,14000,1,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
35,0.5372691011836386,0.7606837637404091,0.5910379900264103,0.7197330788956925,51,32,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,16,32,0.0,200,20,sigmoid,binary_crossentropy,8.02,14000,2,2,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,10
13,0.5941619628514999,0.752136755702842,0.4902095261133774,0.753098189433037,51,32,0.7770370370370371,relu,uniform,uniform,32,relu,uniform,uniform,32,32,0.2,200,40,sigmoid,binary_crossentropy,4.06,14000,2,4,<class 'keras.optimizers.Adam'>,1.4024064171122994,2,5
6,8.856880815620096,0.4444444454633273,7.971191922634187,0.35653002882594714,51,16,0.7770370370370371,relu,uniform,uniform,64,relu,uniform,uniform,32,32,0.1,200,80,sigmoid,binary_crossentropy,4.06,14000,1,4,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,5
14,0.08658294405183221,0.769230770249652,0.07532408572839941,0.7874165874532112,51,16,0.7770370370370371,relu,uniform,uniform,8,relu,uniform,uniform,32,32,0.4,200,160,sigmoid,logcosh,0.1,14000,1,1,<class 'keras.optimizers.Nadam'>,1.4024064171122994,2,20
